region	lon	lat	topType	topTypeAlt	translitTitle	arTitle	topURI	translitTitleOther	arTitleOther	searchNames	arBW
Andalus	-4.89554	38.63018	regions	district	Faḥṣ al-Ballūṭ	فحص ﭐلبلوط	FAHSBALLUT_048W386N_R_ANDA	Faḥṣ al-Ballūṭ	فحص ﭐلبلوط	Fahs al-Ballut	Fahs al-Ballut
Andalus	-5.01064	38.68214	towns	cite	Ġāfiq	غافق	GHAFIQ_050W386N_S_ANDA	Ġāfiq	غافق	Ghafiq	Ghafiq
Andalus	-5.10865	37.53493	towns	cite	Istiǧaŧ	إستجة	ISTIJA_051W375N_S_ANDA	Istiǧaŧ	إستجة	Istija	Istija
Andalus	-5.11225	37.75423	waters	riviere	Nahr Qurṭūbaŧ	نهر قرطوبة	NAHRQURTUBA_051W377N_W_ANDA	Nahr Qurṭūbaŧ	نهر قرطوبة	Nahr Qurtuba	Nahr Qurtuba
Andalus	-5.33071	36.16752	towns	cite	Ǧazīraŧ Ǧabal Ṭāriq	جزيرة جبل طارق	JAZIRAJABALTARIQ_053W361N_S_ANDA	Ǧazīraŧ Ǧabal Ṭāriq	جزيرة جبل طارق	Jazira Jabal Tariq	Jazira Jabal Tariq
Andalus	-5.43793	36.16359	regions	district	Ǧazīraŧ al-Ḫaḍrāʾ	جزيرة ﭐلخضراء	JAZIRAKHADRA_054W361N_R_ANDA	Ǧazīraŧ al-Ḫaḍrāʾ	جزيرة ﭐلخضراء	Jazira al-Khadra	Jazira al-Khadra
Andalus	-5.48272	37.14029	towns	cite	Mawrūr	مورور	MAWRUR_054W371N_S_ANDA	Mawrūr	مورور	Mawrur	Mawrur
Andalus	-5.56634	42.61850	towns	cite	Liyūn	ليون	LIYUN_055W426N_S_ANDA	Liyūn	ليون	Liyun	Liyun
Andalus	-5.58702	37.95728	regions	region	Firrīš	فريش	FIRRISH_055W379N_R_ANDA	Firrīš, Qarsīs	فريش، قرسيس	Firrish, Qarsis	Firrish, Qarsis
Andalus	-5.64097	37.42933	towns	cite	Qarmūnaŧ	قرمونة	QARMUNA_056W374N_S_ANDA	Qarmūnaŧ	قرمونة	Qarmuna	Qarmuna
Andalus	-5.76776	41.44051	towns	cite	Sammūraŧ	سمورة	SAMMURA_057W414N_S_ANDA	Sammūraŧ	سمورة	Sammura	Sammura
Andalus	-5.91433	36.46640	regions	district	Šaḏūnaŧ	شذونة	SHADHUNA_059W364N_R_ANDA	Šaḏūnaŧ, Šadūnaŧ	شذونة، شدونة	Shadhuna, Shaduna	Shadhuna, Shaduna
Andalus	-5.91433	36.46640	towns	cite	Šaḏūnaŧ	شذونة	SHADHUNA_059W364N_S_ANDA	Šaḏūnaŧ, Šadūnaŧ	شذونة، شدونة	Shadhuna, Shaduna	Shadhuna, Shaduna
Andalus	-5.93861	39.48654	towns	cite	Taraǧīlaŧ	ترجيلة	TARAJILA_059W394N_S_ANDA	Taraǧīlaŧ	ترجيلة	Tarajila	Tarajila
Andalus	-5.94131	38.93229	towns	cite	Madallīn	مدلين	MADALLIN_059W389N_S_ANDA	Madallīn	مدلين	Madallin	Madallin
Andalus	-5.96199	37.40790	regions	district	Išbīliyyaŧ	إشبيلية	ISHBILIYYA_059W374N_R_ANDA	Išbīliyyaŧ	إشبيلية	Ishbiliyya	Ishbiliyya
Andalus	-5.96199	37.40790	towns	cite	Išbīliyyaŧ	إشبيلية	ISHBILIYYA_059W374N_S_ANDA	Išbīliyyaŧ	إشبيلية	Ishbiliyya	Ishbiliyya
Andalus	-6.06629	39.80641	towns	cite	Maḫāḍaŧ al-Balāṭ	مخاضة ﭐلبلاط	MAKHADABALAT_060W398N_S_ANDA	Maḫāḍaŧ al-Balāṭ	مخاضة ﭐلبلاط	Makhada al-Balat	Makhada al-Balat
Andalus	-6.10856	36.69169	towns	cite	Šarīš	شريش	SHARISH_061W366N_S_ANDA	Šarīš	شريش	Sharish	Sharish
Andalus	-6.18409	36.57191	regions	ile	Qādis	قادس	QADIS_061W365N_R_ANDA	Qādis	قادس	Qadis	Qadis
Andalus	-6.32886	38.89521	towns	cite	Māridaŧ	ماردة	MARIDA_063W388N_S_ANDA	Māridaŧ	ماردة	Marida	Marida
Andalus	-6.39540	39.46953	towns	cite	Qaṣarāš	قصراش	QASARASH_063W394N_S_ANDA	Qaṣarāš	قصراش	Qasarash	Qasarash
Andalus	-6.55006	39.96270	towns	cite	Quriyaŧ	قرية	QURIYA_065W399N_S_ANDA	Quriyaŧ	قرية	Quriya	Quriya
Andalus	-6.66965	37.38969	towns	cite	Lablaŧ	لبلة	LABLA_066W373N_S_ANDA	Lablaŧ	لبلة	Labla	Labla
Andalus	-6.84140	39.69061	towns	cite	Qanṭaraŧ al-Sīf	قنطرة ﭐلسيف	QANTARASIF_068W396N_S_ANDA	Qanṭaraŧ al-Sīf	قنطرة ﭐلسيف	Qantara al-Sif	Qantara al-Sif
Andalus	-6.87557	40.62317	towns	cite	al-Maʾidaŧ	ﭐلمئدة	MAIDA_068W406N_S_ANDA	al-Maʾidaŧ	ﭐلمئدة	al-Maida	al-Maida
Andalus	-6.99606	38.83500	regions	region	Baṭalyūs	بطليوس	BATALYUS_069W388N_R_ANDA	Baṭalyūs, Baṭalyūṯ	بطليوس، بطليوث	Batalyus, Batalyuth	Batalyus, Batalyuth
Andalus	-6.99606	38.83500	towns	cite	Baṭalyūs	بطليوس	BATALYUS_069W388N_S_ANDA	Baṭalyūs, Baṭalyūṯ	بطليوس، بطليوث	Batalyus, Batalyuth	Batalyus, Batalyuth
Andalus	-6.99696	37.41112	towns	cite	Ǧabal al-ʿUyūn	جبل ﭐلعيون	JABALUYUN_069W374N_S_ANDA	Ǧabal al-ʿUyūn	جبل ﭐلعيون	Jabal al-Uyun	Jabal al-Uyun
Andalus	-7.17410	38.87561	towns	cite	al-Baš	ﭐلبش	BASH_071W388N_S_ANDA	al-Baš, Albas	ﭐلبش، ألبس	al-Bash, Albas	al-Bash, Albas
Andalus	-7.21996	37.23807	towns	cite	Lab	لب	LAB_072W372N_S_ANDA	Lab	لب	Lab	Lab
Andalus	-7.22985	38.77894	towns	cite	Ǧalmāniyaŧ	جلمانية	JALMANIYA_072W387N_S_ANDA	Ǧalmāniyaŧ	جلمانية	Jalmaniya	Jalmaniya
Andalus	-7.80444	38.00689	regions	district	Bāǧaŧ	باجة	BAJA_078W380N_R_ANDA	Bāǧaŧ	باجة	Baja	Baja
Andalus	-7.80444	38.00689	towns	cite	Bāǧaŧ	باجة	BAJA_078W380N_S_ANDA	Bāǧaŧ	باجة	Baja	Baja
Andalus	-7.87188	39.02806	towns	cite	Bīzaŧ	بيزة	BIZA_078W390N_S_ANDA	Bīzaŧ	بيزة	Biza	Biza
Andalus	-7.90515	37.06463	regions	district	Ḫušunubaŧ	خشنبة	KHUSHUNUBA_079W370N_R_ANDA	Ḫušunubaŧ, Uḫšunubaŧ	خشنبة، أخشنبة	Khushunuba, Ukhshunuba	Khushunuba, Ukhshunuba
Andalus	-7.90515	37.06463	towns	cite?	Ḫušunubaŧ	خشنبة	KHUSHUNUBA_079W370N_S_ANDA	Ḫušunubaŧ, Uḫšunubaŧ	خشنبة، أخشنبة	Khushunuba, Ukhshunuba	Khushunuba, Ukhshunuba
Andalus	-8.03553	39.52990	waters	fleuve	Wādī Tāǧū	وادي تاجو	WADITAJU_080W395N_W_ANDA	Wādī Tāǧū	وادي تاجو	Wadi Taju	Wadi Taju
Andalus	-8.42308	37.22519	towns	cite	Madīnaŧ Šalab	مدينة شلب	MADINASHALAB_084W372N_S_ANDA	Madīnaŧ Šalab, Šilb	مدينة شلب، شلب	Madina Shalab, Shilb	Madina Shalab, Shilb
Andalus	-8.48333	38.36698	towns	cite	Qaṣr Banū Wardās	قصر بنو ورداس	QASRBANUWARDAS_084W383N_S_ANDA	Qaṣr Banū Wardās	قصر بنو ورداس	Qasr Banu Wardas	Qasr Banu Wardas
Andalus	-8.71712	39.22337	towns	cite	Šantarīn	شنترين	SHANTARIN_087W392N_S_ANDA	Šantarīn	شنترين	Shantarin	Shantarin
Andalus	-9.14514	38.76878	towns	cite	Lišbūnaŧ	لشبونة	LISHBUNA_091W387N_S_ANDA	Lišbūnaŧ	لشبونة	Lishbuna	Lishbuna
Andalus	-9.19189	38.64984	towns	cite	al-Maʿdan	ﭐلمعدن	MADAN_091W386N_S_ANDA	al-Maʿdan	ﭐلمعدن	al-Madan	al-Madan
Andalus	-9.37353	38.80838	villages	localite	Šantaraŧ	شنترة	SHANTARA_093W388N_S_ANDA	Šantaraŧ	شنترة	Shantara	Shantara
Andalus	0.57785	41.83632	towns	cite	al-Bayḍāʾ	ﭐلبيضاء	BAYDA_005E418N_S_ANDA	al-Bayḍāʾ	ﭐلبيضاء	al-Bayda	al-Bayda
Andalus	0.60933	40.79221	towns	cite	Ṭurṭūšaŧ	طرطوشة	TURTUSHA_006E407N_S_ANDA	Ṭurṭūšaŧ	طرطوشة	Turtusha	Turtusha
Andalus	0.64889	41.60948	waystations	placefrontiere	Lāridaŧ	لاردة	LARIDA_006E416N_S_ANDA	Lāridaŧ	لاردة	Larida	Larida
Andalus	1.41141	38.94978	regions	ile	Yābisaŧ	يابسة	YABISA_014E389N_R_ANDA	Yābisaŧ	يابسة	Yabisa	Yabisa
Andalus	1.71713	37.28888	waters	mer	Baḥr al-Rūm	بحر ﭐلروم	BAHRRUM_017E372N_W_ANDA	Baḥr al-Rūm	بحر ﭐلروم	Bahr al-Rum	Bahr al-Rum
Andalus	2.84472	41.93607	towns	cite	Ǧirundaŧ	جرندة	JIRUNDA_028E419N_S_ANDA	Ǧirundaŧ	جرندة	Jirunda	Jirunda
Andalus	3.00118	43.18643	towns	cite	Arbūnaŧ	أربونة	ARBUNA_030E431N_S_ANDA	Arbūnaŧ	أربونة	Arbuna	Arbuna
Aqur	36.92987	37.58314	waystations	placefrontiere	Marʿaš	مرعش	MARASH_369E375N_S_AQUR	Marʿaš	مرعش	Marash	Marash
Aqur	37.17675	37.17638	towns	cite	Dulūk	دلوك	DULUK_371E371N_S_AQUR	Dulūk	دلوك	Duluk	Duluk
Aqur	37.52545	37.73001	towns	cite	al-Ḥadaṯ	ﭐلحدث	HADATH_375E377N_S_AQUR	al-Ḥadaṯ	ﭐلحدث	al-Hadath	al-Hadath
Aqur	37.68027	37.43156	towns	cite	Raʿbān	رعبان	RABAN_376E374N_S_AQUR	Raʿbān	رعبان	Raban	Raban
Aqur	37.90461	38.09311	waystations	placefrontiere	Zibaṭraŧ	زبطرة	ZIBATRA_379E380N_S_AQUR	Zibaṭraŧ	زبطرة	Zibatra	Zibatra
Aqur	37.96251	38.36373	waystations	etape	ʿArqaŧ	عرقة	ARQA_379E383N_S_AQUR	ʿArqaŧ	عرقة	Arqa	Arqa
Aqur	37.98957	36.54651	towns	cite	Manbiǧ	منبج	MANBIJ_379E365N_S_AQUR	Manbiǧ	منبج	Manbij	Manbij
Aqur	38.05966	37.82371	waystations	placefrontiere	Ḥiṣn Manṣūr	حصن منصور	HISNMANSUR_380E378N_S_AQUR	Ḥiṣn Manṣūr	حصن منصور	Hisn Mansur	Hisn Mansur
Aqur	38.19495	37.49466	towns	ville	Qaṣr Sanǧaŧ	قصر سنجة	QASRSANJA_381E374N_S_AQUR	Qaṣr Sanǧaŧ, Sanǧaŧ	قصر سنجة، سنجة	Qasr Sanja, Sanja	Qasr Sanja, Sanja
Aqur	38.22057	36.67173	towns	ville	Ǧisr Manbiǧ	جسر منبج	JISRMANBIJ_382E366N_S_AQUR	Ǧisr Manbiǧ	جسر منبج	Jisr Manbij	Jisr Manbij
Aqur	38.35767	38.35806	towns	cite	Malaṭīn	ملطين	MALATIN_383E383N_S_AQUR	Malaṭīn, Malaṭiyaŧ	ملطين، ملطية	Malatin, Malatiya	Malatin, Malatiya
Aqur	38.41040	35.85660	sites	lieu	Ṣiffīn	صفين	SIFFIN_384E358N_O_AQUR	Ṣiffīn	صفين	Siffin	Siffin
Aqur	38.43806	36.97910	regions	territoire	Sarūǧ	سروج	SARUJ_384E369N_R_AQUR	Sarūǧ	سروج	Saruj	Saruj
Aqur	38.52691	37.28854	waystations	etape	al-Muzāniyyaŧ	ﭐلمزانية	MUZANIYYA_385E372N_S_AQUR	al-Muzāniyyaŧ	ﭐلمزانية	al-Muzaniyya	al-Muzaniyya
Aqur	38.53819	39.05271	waystations	placefrontiere	Qalʿaŧ Ibrīq	قلعة إبريق	QALAIBRIQ_385E390N_S_AQUR	Qalʿaŧ Ibrīq	قلعة إبريق	Qala Ibriq	Qala Ibriq
Aqur	38.54365	37.54334	towns	cite	Sumaysāṭ	سميساط	SUMAYSAT_385E375N_S_AQUR	Sumaysāṭ	سميساط	Sumaysat	Sumaysat
Aqur	38.72906	36.69218	waystations	etape	Tall ʿAbdā	تل عبدا	TALLABDA_387E366N_S_AQUR	Tall ʿAbdā	تل عبدا	Tall Abda	Tall Abda
Aqur	38.82122	37.14970	towns	cite	al-Ruhā	ﭐلرها	RUHA_388E371N_S_AQUR	al-Ruhā	ﭐلرها	al-Ruha	al-Ruha
Aqur	38.91048	37.41051	waystations	etape	Ǧullāb	جلاب	JULLAB_389E374N_S_AQUR	Ǧullāb	جلاب	Jullab	Jullab
Aqur	38.91206	36.34984	waystations	etape	ʿAyn al-Rūmiyyaŧ	عين ﭐلرومية	AYNRUMIYYA_389E363N_S_AQUR	ʿAyn al-Rūmiyyaŧ	عين ﭐلرومية	Ayn al-Rumiyya	Ayn al-Rumiyya
Aqur	38.98256	36.56338	regions	circonscription	Diyār Muḍar	ديار مضر	DIYARMUDAR_389E365N_R_AQUR	Diyār Muḍar	ديار مضر	Diyar Mudar	Diyar Mudar
Aqur	38.98556	36.13571	towns	cite	Bāǧarwān	باجروان	BAJARWAN_389E361N_S_AQUR	Bāǧarwān	باجروان	Bajarwan	Bajarwan
Aqur	39.02492	39.58627	waystations	placefrontiere	Kamaḫ	كمخ	KAMAKH_390E395N_S_AQUR	Kamaḫ, Kamāḫ	كمخ، كماخ	Kamakh, Kamakh	Kamakh, Kamakh
Aqur	39.05128	35.94930	capitals	capitale	al-Raqqaŧ	ﭐلرقة	RAQQA_390E359N_S_AQUR	al-Raqqaŧ	ﭐلرقة	al-Raqqa	al-Raqqa
Aqur	39.07106	36.38728	towns	cite	Ḥiṣn Maslamaŧ	حصن مسلمة	HISNMASLAMA_390E363N_S_AQUR	Ḥiṣn Maslamaŧ	حصن مسلمة	Hisn Maslama	Hisn Maslama
Aqur	39.07703	35.94235	quarters	faubourg	al-Rāfiqaŧ	ﭐلرافقة	RAFIQA_390E359N_S_AQUR	al-Rāfiqaŧ	ﭐلرافقة	al-Rafiqa	al-Rafiqa
Aqur	39.08906	36.88438	towns	cite	Ḥarrān	حران	HARRAN_390E368N_S_AQUR	Ḥarrān	حران	Harran	Harran
Aqur	39.09656	36.11754	waters	riviere	Nahr al-Balīḫ	نهر ﭐلبليخ	NAHRBALIKH_390E361N_W_AQUR	Nahr al-Balīḫ	نهر ﭐلبليخ	Nahr al-Balikh	Nahr al-Balikh
